PARAMETROS	UNIDAD_ORG	RESPUESTA

BANDEJA DIGITAL: RECOMENDACIONES DE MESA DE TRABAJO DEL COMITÉ DE TRANSPORTE Y LOGÍSTICA.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO A LA CEC Y COPIA A PCM, CONFORMES

BANDEJA DIGITAL: REMITE COPIA DE CARTA CURSADA A AMÉRICA MÓVIL PERÚ S.A.C. EN ATENCIÓN DE SOLICITUDES DE FRACCIONAMIENTO DE PAGO DE RECIBOS, DE ACUERDO A LO PREVISTO EN EL DECRETO DE URGENCIA N° 035-2020.PCM	NULL	FALLAS EN PIDE, DUPLICIDAD DE DOCUMENTO, CORRE TRÁMITE CON E-117179-2020

BANDEJA DIGITAL: REMITE COPIA DE CARTA CURSADA A TELEFÓNICA DEL PERÚ, SOBRE FRACCIONAMIENTO DE PAGOS DE RECIBOS DE ACUERDO A LO PREVISTO EN EL D.U. 035-2020.PCM	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	ATENCIÓN A COMUNICACIÓN DE LA SECRETARIA DE COORDINACIÓN

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006064501-2020-525-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

BANDEJA DIGITAL: REMITE COMENTARIOS RESPECTO AL IMPACTO ECONÓMICO GENERADO EN EL RUBRO DEL TRANSPORTE PÚBLICO DE PASAJEROS, A CONSECUENCIA DEL ESTADO DE EMERGENCIA NACIONAL, ENTRE OTROS.DESPACHO PRESIDENCIAL	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE FINALIZA CON ACUSE DE RECIBO

" SOLICITO SE TENGA A BIEN ABSOLVER LAS PREGUNTAS QUE SE INDICA EN EL PRESENTE DOCUMENTO

CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	OFICIO DIRIGIDO AL CONGRESISTA FREDDY LLAULLI ROMERO 

OFICIO Nª 068-2020-MTC/02, REFERENCIA AL EXPEDIENTE Nª 20-051518-001MINISTERIO DE SALUD	DESPACHO VICEMINISTERIAL DE TRANSPORTES	ATENDIDO, FORMA PARTE DE LOS ANTECEDENTES DEL INFORME 591-2020-MTC/18.01 QUE SUSTENTA LA EMISIÓN DEL DECRETO DE URGENCIA 094-2020

BANDEJA DIGITAL: SOLICITA AUDIENCIA A FIN DE EXPONER PLATAFORMA DE LUCHA MEDIANTE LA CUAL SOLICITAN LA DEROGACIÓN DEL D.U. N° 019-2020 QUE ESTABLECE DISPOSICIONES QUE PARA LA REGULACIÓN DEL SERVICIO DE TRANSPORTE, ENTRE OTROS.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

"SOLICITA INFORME TECNICO DETALLADO

SOBRE EL PROYECTO “CREACIÓN DE LA

CARRETERA CENTRAL HUAYCÁN-CIENEGUILLA

SANTIAGO DE TUNA-SAN ANDRÉS DE

TUPCICOCHAS, SAN DAMIÁN YURACMAYO, YAULI

PACHACHACA, EMP PE-22, DISTRITO DE SANTA

ROSA DE SACCO, PROVINCIA DE YAULI, REGIÓN

JUNÍN”. (CORREO: FLLAULLI@CONGRESO.GOB.PE)CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"CONGRESISTA -

FREDDY LLAULLI ROMERO - 

CONGRESO DE LA REPÚBLICA -

PARA ATENCIÓN DEL SERVICIO DE NOTIFICACIONES "

"REITERA APOYO URGENTE PARA CENTRO POBLADO DE SANTA ROSA DE CHAQUICOCHA Y ANEXOS, DISTRITO DE SANTO DOMINGO DE ACOBAMBA, PROVINCIA DE HUANCAYO-JUNÍN. (ADEOLARTE@PCM.GOB.PE)

PCM"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	CORRE PD E-100546-2020

"REMITE EL EXPEDIENTE 2020-0012804. CARTA S/N FEDERACIÓN CAMPESINA DEL DISTRITO DE

CHALLHUAHUACHO. PONER DE CONOCIMIENTO EL PETITORIO DE LOS DIRIGENTES DEL DISTRITO DE CHALLHUAHUCHO DONDE MANIFIESTAN QUE NO CUENTAN CON INTERNET PARA SEGUIR LAS CLASES VIRTUALES. (ADEOLARTE@PCM.GOB.PE)PCM"	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	NULL

SOLICITA INFORME DE LOS ÚLTIMOS AVANCES QUE SE TIENEN RESPECTO AL FERROCARRIL HUANCAYOHUANCAVELICACONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"CONGRESISTA

ROBLEDO NOÉ GUTARRA RAMOS

CONGRESO DE LA REPÚBLICA 

TRAMITADO A TRAVÉS DEL SERVICIO DE NOTIFICACIONES"

"SOLICITO ELABORACIÓN DE ESTUDIOS Y OBRA PARA ENSANCHAMIENTO Y ASFALTADO DE

VÍA NACIONAL PE - 5NA - OXAPAMPA – POZUZO – CODO DE POZUZO – TINGO MARIA. <LSIMEON@CONGRESO.GOB.PE> RECIBIDO A TRAVÉS DE MESA DE PARTES VIRTUAL. CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"CONGRESISTA

LUIS CARLOS SIMECIN HURTADO

CONGRESO DE LA REPÚBLICA 

TRAMITADO A TRAVÉS DEL SERVICIO DE NOTIFICACIONES"

"REITERATIVO A REQUERIMIENTO DE INFORMACIÓN SOBRE EL CONTRATO DE CONCESIÓN DE LA

AUTOPISTA DEL SOL TRAMO TRUJILLO - SULLANA DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA.CONTRALORIA GENERAL DE LA REPUBLICA"	PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL	SE ATENDIÓ CON OFICIO 2261-2020-MTC/19 A CGR.

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006064502-2019-2951-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE LEONCIO PRADO/CASO N° 2006064501-2019-2046-0/INVESTIGADO HUGO ARIAS FLORES MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006074500-2019-1043-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN N° 02, NO PROCEDE FORMALIZAR NI CONTINUAR INVESTIGACIÓN PREPARATORIA (CASO NRO. 2506054500-2019-293-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"SOLICITA SE SIRVA REMITIR, EN EL MÁS BREVE PLAZO, LA INFORMACIÓN SOLICITADA EN EL OFICIO N° 0127-2020-

DP/OD-LIMA/DESC DE FECHA 26 DE FEBRERO DE 2020 (EXPEDIENTE N° E-075161-2020), RESPECTO AL CASO PRESENTADO POR EL CIUDADANO EUSEBIO CHECALLA TICONA. (CORREO: ODLIMA@DEFENSORIA.GOB.PE)

DEFENSORIA DEL PUEBLO"	SECRETARIA GENERAL	NULL

"SOLICITA ELABORACIÓN DE ESTUDIOS Y OBRA PARA ENSANCHAMIENTO Y ASFALTADO DE VIA NACIONAL PE - 5NA - OXAPAMPA – POZUZO – CODO DE POZUZO – TINGO MARIA. (LSIMEON@CONGRESO.GOB.PE) (MESA DE PARTES VIRTUAL).

CONGRESO DE LA REPUBLICA"	SECRETARIA GENERAL	CORRE CON EL EXP E 128683-2020 

BANDEJA DIGITAL: REMITE CONSULTAS REFERENTE A LAS REGLAS SOBRE LOS INGRESOS DEL PERSONAL ADMINISTRATIVO D.L N° 276MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	SE TOMO DE CONOCIMIENTO 

NOTIFICA DISPOSICIÓN  N° 02-2020, REFERENTE AL CASO N° 3006014507-2019-2342-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"REMITE EXPEDIENTE Nº 20200011854, ""REMITE CARTA FRATERNAL CON

PROPUESTAS, ALTERNATIVAS Y

SUGERENCIAS DE SOLUCIÓN MUY

IMPORTANTES POR LAS RAZONES

QUE EXPONE"", PARA SU CONOCIMIENTO Y FINES.PCM"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE TOMO CONOCIMIENTO

"REMITE EXPEDIENTE N° 20200014234. OFICIO Nª 033-2020-MMLIMPL-PE. TRASLADA EL INFORME NO. 50-2020-MML/IMPL/GC RESPECTO AL ANÁLISIS Y PROPUESTAS DE HORARIOS DIFERENCIADOS PARA LIMA METROPOLITANA. [ADEOLARTE@PCM.GOB.PE] RECIBIDO A TRAVÉS DE MESA DE PARTES VIRTUAL. 

PCM"	SECRETARIA GENERAL	DERIVADO AL ATU A TRAVES DE LA MESA DE PARTES VIRTUAL DEL MTC 

REMITE DISPOSICIÓN N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014502-2020-2560-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

COMUNICA QUE HA LLEGADO A ESTA COMISIÓN LA DENUNCIA DEL CIUDADANO ISMAEL AROCENA VIDAL CON CORREO ELECTRÓNICO ISMAELAROCENAVIDAL@HOTMAIL.COM. CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"CONGRESISTA

JOSÉ LUIS LUNA MORALES

PRESIDENTE DE LA COMISIÓN DE DEFENSA DEL CONSUMIDOR Y ORGANISMOS REGULADORES DE LOS SERVICIOS PÚBLICOS

CONGRESO DE LA REPÚBLICA 

TRAMITADO A TRAVÉS DEL SERVICIO DE NOTIFICACVIONES"

NOTIFICA DISPOSICIÓN N° 01-2020, REFERENTE AL CASO N° 3006064501-2020-280-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/03 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014503-2020-141-0/INVESTIGADO IRVIN GUIOMAR TRUJILLO FIGUEROAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 02, REFERENTE AL CASO N° 3006074500-2019-673-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA OPINIÓN INSTITUCIONAL DELPROYECTO DE LEY 5528/2020-CR, QUE PROPONE UNA “LEY QUE DECLARA DE PREFERENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL AEROPUERTO DE OXAPAMPA EN EL DEPARTAMENTO DE PASCO”CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	OFICIO 077-2020-MTC/01 AL PRESIDENTE DE LA COMISION DE TRANSPORTES Y COMUNICACIONES DEL CONGRESO DE LA REPÚBLICA

SOLICITA OPINIÓN INSTITUCIONAL DELPROYECTO DE LEY 5340/2020-CR, QUE PROPONE UNA “LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACIÓN DE LA AVENIDA CANTA CALLAO Y EL INTERCAMBIO VÍA TIPO TRÉBOL QUE SE INTERCONECTA CON LA PANAMERICANA NORTE EN LA PROVINCIA DE LIMA”CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	OFICIO ENTREGADO CONFORME

BANDEJA DIGITAL: SE SOLICITA OPINIÓNDESPACHO PRESIDENCIAL	NULL	SE FINALIZA POR DEVOLUCIÓN POR NO SER RECEPCIONADO POR MESADEPARTESVIRTUAL@MTC.GOB.PE, REGISTRADO CON E-125045-2020 

NOTIFICA DISPOSICIÓN N° 03, REFERENTE AL CASO N° 3006064501-2018-1782-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

BANDEJA DIGITAL: RELACIÓN DE PROYECTOS COMPLEMENTARIOS A LOS PROYECTOS PRIORIZADOS EN EL PLAN NACIONAL DE INFRAESTRUCTURA PARA LA COMPETITIVIDAD E INFORMES DE SUSTENTOMINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	NULL

"REMITE REQUERIMIENTO DE OPINIÓN TÉCNICA DEL CIUDADANO DANIEL YAPIAS SOBRE PICO Y PLACA PARA MOTO TAXISTAS

CONGRESO DE LA REPUBLICA"	SECRETARIA GENERAL	DERIVADO A LA ATU A TRAVES DE LA MESA DE PARTES VIRTUAL DEL MTC PARA SU ATENCION 

"SOLICITO INFORME DEL ESTADO SITUACIONAL SOBRE EL

FINANCIAMIENTO DE LA FORMULACIÓN DEL EXPEDIENTE

TÉCNICO DEL PROYECTO: “CREACIÓN DEL SERVICIO DE

TRANSITABILIDAD VIAL VECINAL ENTRE LAS LOCALIDADES DE

ESTANQUE, VÍCTOR RAÚL HAYA DE LA TORRE Y SAN LORENZO DE

ISCO – DEL DISTRITO DE PACHAS – PROVINCIA DE DOS DE MAYO

DEPARTAMENTO DE HUÁNUCO”, CON CUI N°2475860. (CORREO: LPEREZ@CONGRESO.GOB.PE)CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	INFORME N° 224-2020-MTC/21.OPP

"HACE DE CONOCIMIENTO SOBRE LA PREOCUPACIÓN

DE LOS PADRES DE FAMILIA DEL PUEBLO DE PUCURGUAY DEL DISTRITO DE TICLACAYAN, PROVINCIA

Y REGIÓN DE PASCO, DICHO PUEBLO NO CUENTA CON EL SERVICIO DE INTERNET, POR LO CUAL REQUIERE A SU DESPACHO, CONSIDERAR LA

INSTALACIÓN DE DICHO SERVICIO Y SÍRVASE REMITIR A MI DESPACHO CONGRESAL, CON CARÁCTER

DE URGENTE Y EN EL PLAZO DE CUARENTA Y OCHO HORAS (48HRS) UN INFORME COMPLETO

Y DETALLADO SOBRE LO ACTUADO, EN EL MARCO DE LA EMERGENCIA SANITARIA POR EL COVID -

19. (CORREO: NJIMENEZO@CONGRESO.GOB.PE)CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	"CONGRESISTA -

LUIS CARLOS SIMEÓN HURTADO -

CONGRESO DE LA REPÚBLICA -

REMITIDO AL SERVICIO DE NOTIFICACIONES PARA SU DESPACHO"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2020-101-0/INVESTIGADO FRANKILIN ENRIQUE MEJÍA CABIAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"SOLICITA OPINIÓN INSTITUCIONAL DEL PROYECTO DE LEY 5548/2020-CR, QUE PROPONE UNA “LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA INSTALACIÓN DE ANTENAS DE RADIO, TELEVISIÓN E INTERNET PARA FACILITAR A NIÑOS,

NIÑAS Y ADOLESCENTES DE ZONAS RURALES, EL APRENDIZAJE DE LECCIONES A DISTANCIA: YO APRENDO EN CASA”,CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	ATENDIDO CON OFICIO N° OFICIO NO 115-2020-MTC/01 A LUIS CARLOS SIMEON HURTADO PDTE CTC CR OSPL N° 5548-2020-CR

BANDEJA DIGITAL: SE SOLICITA OPINIÓNDESPACHO PRESIDENCIAL	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ACUMULA PARA ATENCIÓN

BANDEJA DIGITAL: MESA DE PARTES VIRTUALMINISTERIO DE ECONOMIA Y FINANZAS	PROGRAMA NACIONAL DE TELECOMUNICACIONES - DIRECCIÓN EJECUTIVA	SE TOMO CONOCIMIENTO

TRASLADA PEDIDO DEL SR. ROY MAMANI BARRIGA, ALCALDE DE LA MUNICIPALIDAD PROVINCIAL DE  PAUCAR DEL SARA SARA - AYACUCHO, DONDE SOLICITA APOYO PRESUPUESTAL PARA EJECUCION DE MANTENIMIENTO DE 23 CAMNOS VECINALESCONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ A MESA DE PARTES DEL CONGRESO Y SE RECIBIÓ CARGO

"SOLICITA INFORME DE SITUACIÓN DE PUENTE SAN CRISTOBAL – PALCAZU – OXAPAMPA - PASCO. (JFIESTASR@MTC.GOB.PE) (MESA DE PARTES VIRTUAL).

CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	ACUMULAR

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006014504-2020-62-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE EXPEDIENTE N° 2020-0010559. EL SUSCRITO ALCANZA CARTA A ATU - INICIATIVA  PRIVADA AUTOFINANCIADA OPERADOR CORREDOR VIAL 1 PANAMERICANAS DE VILLA EL SALVADOR - PUENTE PIEDRAS. [ADEOLARTE@PCM.GOB.PE]PCM	SECRETARIA GENERAL	SE REMITE A LA ATU EL OFICIO D001791-2020-PCM-SC A TRAVÉS DE SU MESA DE PARTES, PARA SU EVALUACIÓN, EMITIR INFORME Y PREPARAR RESPUESTA. 

"SOLICITUD DE INFORMACIÓN SOBRE EL CONGLOMERADO DE PROYECTOS DE APOYO A LA COMUNICACIÓN COMUNAL (CPACC) A

NIVEL NACIONAL CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	EDUARDO GEOVANNI ACATE CORONEL - CONGRESO DE LA REPÚBLICA

REMITE, PROVIDENCIA N° 01, ABSTENCIÓN DE EJERCITAR LA ACCIÓN PENAL (CASO NRO. 2506014508-2019-1746-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SE REMITE PARA CONOCIMIENTO/DELITO DE PELIGRO COMÚN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-576-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL ,  (ANEXO 1618)

"

"SOLICITARLE UNA OPINIÓN INSTITUCIONAL DEL PROYECTO DE LEY 5396/2020-CR, QUE PROPONE UNA “LEY QUE DECLARA PREFERENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA 

REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA VILLA RICA -PUERTO BERMÚDEZ EN EL DEPARTAMENTO DE PASCO.  [LSANDOVAL@CONGRESO.GOB.PE]CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	OFICIO ENTREGADO CONFORME

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN EN ESTADO DE EBRIEDAD /SEGUNDA FISCALIA PROVINCIAL CIVIL Y FAMILIA DE LEONCIO PRADO/CASO N° 463-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N° 3006064501-2020-274-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REQUIERO HABILITACIÓN DE UNA ANTENA CABLE PARA RADIO Y TELEVISIÓN E IMPLEMENTACIÓN DE EQUIPOS AUDIO Y VISUAL EN LOS PUEBLOS DEL DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRIÓN Y REGIÓN DE PASCO. <LSIMEON@CONGRESO.GOB.PE> RECIBIDO A TRAVES DE MESA DE PARTES VIRTUAL. CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	"CONGRESISTA

LUIS CARLOS SIMEÓN HURTADO

CONGRESO DE LA REPÚBLICA 

PARA TRAMITAR A TRAVÉS DEL SERVICIO DE NOTIFICACIONES "

SOLICITA INFORMACIÓN SOBRE LAS ÓRDENES DE SERVICIO REGISTRADAS A NOMBRE DE LUIS ÁNGEL RIVERA TALLEDO (MESA DE PARTES VIRTUAL)CONGRESO DE LA REPUBLICA	SECRETARIA GENERAL	DIRIGIDO AL CR JORGE PEREZ TRAMITADO A TRAVES DEL SERVICIO DE NOTIFICACIONES DEL MTC 

NOTIFICA DISPOSICIÓN N°02,REFERENTE AL CASO N° 3006014501-2019-1972-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE PROVIDENCIA N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014508-2020-78-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

FISCALIA TRANSITORIA DE EXTINCIÓN DE DOMINIO DE  LAMBAYEQUE - SOLICITA SE LE INFORME SI EL SR. JUAN CLAVO MONTEZA, REGISTRO PAPELETAS POR INFRACCIÓN DE TRÁNSITO: Y OTRO.MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)	FINALIZAR. ATENDIDO CON EL OFICIO INDICADO LÍNEAS ARRIBA (T.R.)

"TRASLADA DOCUMENTO DE LA MUNICIPALIDAD DEL DISTRITO DE PAUCAR, QUIEN SOLICITA CONEXIÓN DE SEÑAL ABIERTA DE TELEVISIÓN NACIONAL. (LSIMEON@CONGRESO.GOB.PE) (MESA DE PARTES VIRTUAL).

CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	"CONGRESISTA

LUIS CARLOS SIMEÓN HURTADO

CONGRESO DE LA REPÚBLICA 

TRAMITADO A TRAVÉS DEL SERVICIO DE NOTIFICACIONES"

EN REFERENCIA AL MEMORANDO N° D000211-2020-PCM-SGP, ADJUNTA EL INFORME D00083-2020-SSAP, QUE RECOMIENDA QUE SE SOLICITE OPINIÓN LEGAL A LA OFICINA GENERAL DE ASESORÍA JURÍDICA DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONESPCM	SECRETARIA GENERAL	ADJTA AL INFORME 1235-2020-MTC/08

REMITE DISPOSICIÓN N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014505-2019-3181-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1674-0/INVESTIGADO YULER DEYBIN RAMÍREZ MARCHANDMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N° 274-2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE SOLICITUD DEL CONGRESISTA HÉCTOR SIMON MAQUERA CHÁVEZ, QUIEN SOLICITA INFORME DETALLADO SOBRE GASTOS DEL ESTADO EN PUBLICIDAD. [ADEOLARTE@PCM.GOB.PE].PCM	SECRETARIA GENERAL	NULL

"SOLICITA AUDIENCIA VIRTUAL PARA TRATAR EL TEMA REFERENTE AL PERIODO DE VIGENCIA DE LOS MIEMBROS DEL DIRECTORIO DE APN. (CVELAJ@CONGRESO.GOB.PE) (MESA DE PARTES VIRTUAL).

CONGRESO DE LA REPUBLICA"	SECRETARIA GENERAL	"CONGRESISTA

PAUL GABRIEL GARCÍA OVIEDO

CONGRESO DE LA REPÚBLICA 

TRAMITADO A TRAVÉS DEL SERVICIO DE NOTIFICACIONES"

BANDEJA DIGITAL: SOLICITA EJECUCIÓN DE PROYECTO DE MEJORA DE INFRAESTRUCTURA VIAL QUE CONECTA LAS LOCALIDADES DE LA PROVINCIA DE HUANCAYO, JUNÍN, SEGÚN CÓDIGO ÚNICO DE INVERSIÓN N° 2461885.DESPACHO PRESIDENCIAL	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"SE ATENDIÓ CON CARTA FINANCIERA N°098-2020-MTC/21.OPP DIRIGIDO AL ALCALDE DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO, CON FECHA 06/07/2020, EXP N°E012012206

"

NOTIFICA DISPOSICIÓN N° 01-2019, REFERENTE AL CASO N° 3006064501-2019-2678-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN  01-2020, REFERENTE AL CASO N° 3006064501-2020-60-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

